REDE;CLIENTE;LATITUDE;LONGITUDE;BAIRRO;CLASSE SOCIAL;CIDADE;TIPO COMERCIAL;Pontos de Interesse
MIX MATEUS;MATEUS - HENRIQUE JORGE;-3.75714249;-38.59061584;DOM LUSTOSA;C;FORTALEZA;ATACAREJO NACIONAL;
MIX MATEUS;MATEUS - JOSE WALTER;-3.8207176;-38.55885136;MONDUBIM;C;FORTALEZA;ATACAREJO NACIONAL;
MIX MATEUS;MATEUS - MARACANAU;-3.87830719;-38.59641157;PAJUCARA;C;MARACANAU;ATACAREJO NACIONAL;
MIX MATEUS;MATEUS - MARANGUAPE;-3.89666198;-38.67373332;TANGUEIRA;C;MARANGUAPE;ATACAREJO NACIONAL;
GPA;PAO DE ACUCAR - AGUANAMBI (1398);-3.748629;-38.52292640;FATIMA;B;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - ALDEOTA (1249);-3.73407602;-38.49686086;ALDEOTA;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - BEZERRA DE MENEZES (2375);-3.7335995;-38.55862620;SAO GERARDO;C;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - CENTER UM (1209);-3.7373679;-38.49744410;ALDEOTA;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - COCO (1253);-3.7430401;-38.48591630;COCO;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - IGUATEMI (1339);-3.75451369;-38.48921518;EDSON QUEIROZ;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - JULIO VENTURA (1252);-3.7399659;-38.50757470;ALDEOTA;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - LUCIANO CAVALCANTE (2374);-3.772043;-38.48283630;LUCIANO CAVALCANTE;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - MUCURIPE (1257);-3.7277865;-38.48620370;MUCURIPE;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - NAUTICO (1004);-3.7274751;-38.49377980;MEIRELES;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - SANTOS DUMONT (1220);-3.7306636;-38.51315750;ALDEOTA;A;FORTALEZA;SUPER NACIONAL;
GPA;PAO DE ACUCAR - VIRGILIO TAVORA (1298);-3.7466669;-38.49662910;DIONISIO TORRES;B;FORTALEZA;SUPER NACIONAL;
PINHEIRO;PINHEIRO - ANTONIO SALES;-3.7478342;-38.49510900;DIONISIO TORRES;B;FORTALEZA;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - AQUIRAZ;-3.8622168;-38.49641750;CENTRO;C;AQUIRAZ;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - MARAPONGA;-3.7855664;-38.56673330;MARAPONGA;B;FORTALEZA;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - MESSEJANA;-3.8214353;-38.49590610;MESSEJANA;C;FORTALEZA;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - MONDUBIM;-3.8098495;-38.57435820;MONDUBIM;B;FORTALEZA;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - PANAMERICANO;-3.7550758;-38.56916350;DEMOCRITO ROCHA;C;FORTALEZA;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - PORTO DAS DUNAS;-3.84944935;-38.39635577;PORTO DAS DUNAS;A;AQUIRAZ;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - PRAIA DE IRACEMA;-3.723756;-38.51312680;PR DE IRACEMA;A;FORTALEZA;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - ROGACIANO LEITE;-3.7724462;-38.49885060;SALINAS;A;FORTALEZA;PEQUENOS REGIONAIS;
PINHEIRO;PINHEIRO - WASHINGTON SOARES;-3.8370287;-38.48228190;MESSEJANA;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - CAMBEBA;-3.8031077;-38.48835640;CAMBEBA;A;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - CENTRO;-3.7316219;-38.52684580;CENTRO;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - CIDADE 2000;-3.7510005;-38.47192100;CIDADE 2000;B;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - LUCIANO CAVALCANTE;-3.768427;-38.49362170;LUCIANO CAVALCANTE;A;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - MOZART LUCENA;-3.7184334;-38.59591350;VILA VELHA;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - NORTH SHOPPING;-3.7345867;-38.56610903;SAO GERARDO;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - PARANGABA;-3.77391301;-38.56794475;PARANGABA;B;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - PASSARE;-3.80068381;-38.52989977;PASSARE;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - RODOLFO TEOFILO;-3.7468473;-38.55599820;RODOLFO TEOFILO;B;FORTALEZA;PEQUENOS REGIONAIS;
SUPER LAGOA;SUPER LAGOA - SANTOS DUMONT;-3.7394701;-38.48956470;ALDEOTA;A;FORTALEZA;PEQUENOS REGIONAIS;
CENTERBOX;CENTERBOX - PARQUE DOM PEDRO;-3.90694584;-38.5743777;PARQUE DOM PEDRO;C;ITAITINGA;PEQUENOS REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - MONTESE;-3.7687918;-38.5566308;MONTESE;B;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - VARJOTA;-3.7321668;-38.4886676;VARJOTA;B;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - COCO;-3.7495167;-38.490536;COCO;A;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - ALVARO WEYNE;-3.7146909;-38.5645305;ALVARO WEYNE;C;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - MARAPONGA;-3.797637;-38.57033;MARAPONGA;C;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - ITAPERI;-3.7919091;-38.5497507;ITAPERI;C;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - MONTE CASTELO;-3.7250587;-38.5509476;MONTE CASTELO;C;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - PARQUE ARAXA;-3.737422;-38.5517313;PARQUE ARAXA;C;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - GUARARAPES;-3.7703181;-38.4872714;GUARARAPES;C;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - EUSEBIO;-3.8704983;-38.4675121;EUSEBIO;B;EUSEBIO;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - ALDEOTA;-3.7358277;-38.5013099;ALDEOTA;A;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - COSTA BARROS;-3.730295;-38.512375;COSTA BARROS;A;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - RUI BARBOSA;-3.746295;-38.5125923;RUI BARBOSA;A;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - SANTOS DUMONT;-3.7429041;-38.4794315;SANTOS DUMONT;A;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - MESSEJANA;-3.8322624;-38.4923427;MESSEJANA;C;FORTALEZA;SUPER REGIONAIS;
FRANGOLANDIA;FRANGOLANDIA - MOLINA CENTER;-3.7929617;-38.4806392;MOLINA CENTER;C;FORTALEZA;SUPER REGIONAIS;
SUPER DO POVO;SUPER DO POVO - GUARARAPES;-3.761929;-38.4906592;GUARARAPES;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER DO POVO;SUPER DO POVO - CONJUNTO CEARA;-3.7694439;-38.6045471;CONJUNTO CEARA;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER DO POVO;SUPER DO POVO - HENRIQUE JORGE;-3.7580958;-38.5843396;HENRIQUE JORGE;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER DO POVO;SUPER DO POVO - JUREMA;-3.7738473;-38.6282389;JUREMA;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER DO POVO;SUPER DO POVO - PASSARE;-3.7930876;-38.5335303;PASSARE;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER DO POVO;SUPER DO POVO - MINI MARKET;-3.7426267;-38.5125024;MINI MARKET;A;FORTALEZA;PEQUENOS REGIONAIS;
SUPER DO POVO;SUPER DO POVO - CAMBEBA;-3.8101342;-38.4938184;CAMBEBA;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER DO POVO;SUPER DO POVO - PARQUE DOIS IRMAOS;-3.8211125;-38.5562854;PARQUE DOIS IRMAOS;C;FORTALEZA;PEQUENOS REGIONAIS;
SUPER DO POVO;SUPER DO POVO - PREF JOSE WALTER;-3.8314092;-38.5605403;PREF JOSE WALTER;C;FORTALEZA;PEQUENOS REGIONAIS;
